Script started at 07:48:21
08:01:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:16 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:19 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:22 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:25 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:28 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:37 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:40 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:43 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:46 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:10 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:02:13 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
